id,programRuleActionType,content,data,location,templateUid,programRule,dataElement,trackedEntityAttribute,programStageSection,programStage,programIndicator,optionGroup,option,sharing
h8xs89kMVAH,DISPLAYKEYVALUEPAIR,Pathogen 3 is recovered multiple times,expressions/programRules/NeoIPC BSI Debug rule/h8xs89kMVAH.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
hhKcnI0yVCr,ASSIGN,#{NeoIPC BSI Perfusion count},expressions/programRules/NeoIPC BSI Perfusion set count/hhKcnI0yVCr.data.dhis2,,,Gi7SH9RVlKg,,,,,,,,
hj9D3TiJkC0,HIDEFIELD,,,,,ehrBTKxrBMo,gGY64LFTCHE,,,,,,,
hkjtnc9E5N1,HIDEFIELD,,,,,bBy2KAwRXCW,j4h7viHO6lb,,,,,,,
hmiG2usoXuU,HIDEFIELD,,,,,ehrBTKxrBMo,G7JBlB11D5B,,,,,,,
hrmeMF6miFB,DISPLAYKEYVALUEPAIR,Common sepsis clinical findings count,expressions/programRules/NeoIPC BSI Debug rule/hrmeMF6miFB.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
hs7ldgDtJa1,SENDMESSAGE,,,,UhTbLuRAhwT,Yf4TstJjxq7,,,,,,,,
hvBrOiCk8n5,ASSIGN,,expressions/programRules/NeoIPC NEC Set Day of life/hvBrOiCk8n5.data.dhis2,,,pMzKRM5OdcT,Ct7gBVqwScW,,,,,,,
i2nP3llrGmL,HIDEFIELD,,,,,cnyYkKWdFSV,v8zVGK2XmtI,,,,,,,
iHMgORcoNkp,HIDEFIELD,,,,,eqc0S2TZvkm,AWj4EtgLBRq,,,,,,,
iIFIOdEmbeR,HIDEFIELD,,,,,jhW8xHnD8YD,ZpwYoMtJea3,,,,,,,
iSQvwFNntZQ,HIDEFIELD,,,,,ehrBTKxrBMo,Aawy9BpDWc2,,,,,,,
ieKkI1rLpMT,SENDMESSAGE,,,,GePNTDTpZpK,xRZwaKSxJ1r,,,,,,,,
ifQ68rsMHB7,SETMANDATORYFIELD,,,,,vZB3p7NXfKx,bUNxV2zp4Lu,,,,,,,
iqCfIRnj0Yi,HIDEFIELD,,,,,V3SxTcR7aP1,NjFq3pakY2I,,,,,,,
